Title,Price,Area,Rooms,Address,Owner Type,Owner Name,URL,Class
იყიდება 2 ოთახიანი ბინა ლისზე,84320 $,54.4 m²,2.0,ცაცხვების ქუჩა 4,physical,ზურა,https://www.myhome.ge/pr/20246193/iyideba-2-otaxiani-bina-lisze/,SUPER_VIP
იყიდება 4 ოთახიანი ბინა ვაკეში,386100 $,143 m²,4.0,მცხეთის I ჩიხი 17,physical,გიორგი,https://www.myhome.ge/pr/20602703/iyideba-4-otaxiani-bina-vakeshi/,SUPER_VIP
იყიდება 1 ოთახიანი ბინა ნუცუბიძის ფერდობზე,62000 $,37 m²,1.0,მელიტონ ქანთარიას ქ.,physical,რერო,https://www.myhome.ge/pr/20656484/iyideba-1-otaxiani-bina-nutsubidzis-ferdobze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა დიდ დიღომში,67000 $,59 m²,2.0,დემეტრე თავდადებულის ქუჩა 38,physical,რერო,https://www.myhome.ge/pr/20656476/iyideba-2-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა საბურთალოზე,95000 $,60 m²,2.0,ცინცაძე ს. ქ. 53,physical,",",https://www.myhome.ge/pr/20575838/iyideba-2-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 4 ოთახიანი ბინა ნაძალადევში,122000 $,87 m²,4.0,დადიანის ქ. 34,physical,მაია,https://www.myhome.ge/pr/20591463/iyideba-4-otaxiani-bina-nadzaladevshi/,SUPER_VIP
იყიდება 4 ოთახიანი ბინა საბურთალოზე,120000 $,130 m²,4.0,"ალექსანდრე ყაზბეგის გამზირი #1-25, 2-16 19",physical,Leyla,https://www.myhome.ge/pr/20256269/iyideba-4-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა დიდ დიღომში,158000 $,111 m²,3.0,აღმაშენებლის ხეივანი ,physical,ლევანი,https://www.myhome.ge/pr/20433970/iyideba-3-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 1 ოთახიანი ბინა დიდ დიღომში,50000 $,29 m²,1.0,პ. იბერის ქ. 22ა,physical,ნანა,https://www.myhome.ge/pr/20640279/iyideba-1-otaxiani-bina-did-dighomshi/,SUPER_VIP
იყიდება 5 ოთახიანი ბინა ვერაზე,382500 $,170 m²,5.0,შიო მღვიმელის ქუჩა; შესახვევი 15,physical,ბესო,https://www.myhome.ge/pr/20577015/iyideba-5-otaxiani-bina-veraze/,SUPER_VIP
იყიდება 1 ოთახიანი ბინა საბურთალოზე,41000 $,28 m²,1.0,ქავთარაძის ქ. 36,agent,ლუკა,https://www.myhome.ge/pr/20497486/iyideba-1-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა საბურთალოზე,105000 $,56 m²,2.0,წმ. მოწამე ვასილისკოს ქ. 1,physical,ანა,https://www.myhome.ge/pr/20656302/iyideba-2-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა საბურთალოზე,95000 $,60 m²,2.0,ცინცაძე ს. ქ. 53,physical,",",https://www.myhome.ge/pr/20575838/iyideba-2-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 4 ოთახიანი ბინა დიდუბეში,90000 $,98 m²,4.0,ნ. ხოშარაულის ქ. 47,physical,გიორგი,https://www.myhome.ge/pr/19743949/iyideba-4-otaxiani-bina-didubeshi/,SUPER_VIP
იყიდება 3 ოთახიანი ბინა ვარკეთილში,77000 $,65 m²,3.0,წულუკიძის ქუჩა 35,physical,Z.Z,https://www.myhome.ge/pr/20342189/iyideba-3-otaxiani-bina-varketilshi/,SUPER_VIP
იყიდება 5 ოთახიანი ბინა საბურთალოზე,399500 $,235 m²,5.0,"ალექსანდრე ყაზბეგის გამზირი #1-25, 2-16 24გ",physical,ხატია,https://www.myhome.ge/pr/19629298/iyideba-5-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა საბურთალოზე,97500 $,60 m²,2.0,ოთარ ლორთქიფანიძის ქუჩა ,agent,შალე,https://www.myhome.ge/pr/20421955/iyideba-2-otaxiani-bina-saburtaloze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა ლისზე,187705 $,121.1 m²,2.0,ცაცხვების ქუჩა ,developer,ანთაგი,https://www.myhome.ge/pr/20601821/iyideba-2-otaxiani-bina-lisze/,SUPER_VIP
იყიდება 2 ოთახიანი ბინა კრწანისში,80000 $,42 m²,2.0,კრწანისის ქ. 7,physical,ბესო,https://www.myhome.ge/pr/20519117/iyideba-2-otaxiani-bina-krwanisshi/,SUPER_VIP
